"Participant","l_fit","beta","tau","condition","NLL","AIC"
66tmzww45vw9c4h39c4r6rq6,8.282103439456499,0.006737946999085467,0.06203983300987434,0,867.3488670748363,1744.6977341496727
4zrzqhwwszcmlvz4s6lwz4c5,0.5429278178483736,0.09033419281202762,0.02268006879040032,0,407.7148265147229,825.4296530294458
rrtss5zs9vmt64hs4vc336hm,13.629326766369037,0.4920891320808618,0.08619444476339716,0,977.0895806726076,1964.179161345215
4lr4463vlcz96l5wwt3qq44l,0.9649744667621556,0.34260343892446465,0.06135088852121719,0,733.2340754797059,1476.4681509594118
hqt4zv39rr49qhvz6lqwtmqh,2.15353964732812,0.21740202566648179,0.06140440153749751,0,685.3940551388786,1380.7881102777571
4zr94h9h9369rmm6h6lq349v,0.7708021436984479,0.08625855967264207,0.035659101516484076,0,502.2354347778779,1014.4708695557558
4rr9qh39lwrvlvwm654r54w9,1.087381149390797,0.20642336188211408,0.04832465222902767,0,617.7248874568937,1245.4497749137875
4sr34wwcvzvr33l9t4vq64l4,11.580654257209448,0.8205638198918574,0.06650818303812046,0,838.2712732468246,1686.5425464936493
3stt3wq4szt54hq99tql43qt,26.92457844284384,1.0528198776931208,0.052528938558193475,0,679.5774217610032,1369.1548435220063
w6t369hrcqztq4994tvhmmzr,1.1018129760715947,0.03752920709085632,0.042128065167501144,0,569.9510685515064,1149.9021371030128
clt4966zmmz654t3l93l4sw9,1.8188631730078748,0.1299608552355026,0.058321593292430245,0,758.3396477813908,1526.6792955627816
z3t64h494tq9r4mz3vl434v6,8.86035945554643,1.1889542343055384,0.06992888610265481,0,902.2538601106337,1814.5077202212674
4wrz49rt3wv4qvm36r5q649z,2.2879155401685645,0.16012754850459154,0.05684473120247162,0,789.2384807923221,1588.4769615846442
cvt4th9vcshr6q559w46z46l,10.25409691766288,1.2284732967778123,0.0651034441613525,0,918.5505245104475,1847.101049020895
5ctz9lwc6rt9c64rztwr6rzm,12.658238113361497,0.8619059167980628,0.06602428593380327,0,978.3974780422149,1966.7949560844297
sctczct35sslc4sr9hll3vcs,11.515973776564842,0.7870569380936512,0.06850172134013587,0,937.5887493986794,1885.1774987973588
4qr34shqmq5m43m6wh9qs45c,16.6011117186093,1.008792880985768,0.0664573840915664,0,947.1137395041446,1904.2274790082893
h5tzm4r4mwm5rq33q4tvlzzm,0.8569434964426529,0.3086786792045596,0.056052545360829875,0,736.0663057498482,1482.1326114996964
4wrt49z64cvts3c339cq34hm,12.304383337266334,0.5773197307536102,0.0649745469681302,0,899.9553710076875,1809.910742015375
44r44zmrtvl59ml3llcql4w4,0.6350752304834258,0.47130541998228503,0.0902339270999902,0,759.9095381747693,1529.8190763495386
lzrhwclcm4mlvc9lmvlwswht,15.55125288884136,0.8890142589714283,0.07233095170485924,0,950.1984423393912,1910.3968846787825
sstr63rwvsmz36hmqs6hzzvs,0.8798087254939144,0.2609713470514342,0.059272339397642385,0,737.8946222462156,1485.7892444924312
mvtr3v5q95zl6qlv4ws93tcs,0.6620336354578005,0.44989490239005364,0.07780787638851225,0,720.4733319221207,1450.9466638442414
43rc55sq9l34z5vlrvrwttm4,0.6829964700058785,0.3856834052668619,0.07174453600507266,0,720.6629879090422,1451.3259758180843
4qrwq53mslq4cr4vsrt6946c,8.751901330286266,0.0067379469990854705,0.05629182773499914,0,553.9863744456609,1117.9727488913218
6mtzhvrqrcs3rq3vhhrr5c43,0.7525438737786401,0.4001188869016622,0.07578874229927414,0,758.9521534872063,1527.9043069744125
cqtr9mqwmqrqqhr45z6qtqw4,0.648191791129251,0.287560123000979,0.052080237160713,0,626.0078945463576,1262.0157890927153
4hr44lch6vl5hmm9vm5ql4c3,0.7467038594327458,0.4084593192275333,0.0676171874811901,0,675.0676487465331,1360.1352974930662
4crr4qcqz5vrls4vrqwqh4ms,0.6900752636777897,0.45635739774617456,0.09317343061882924,0,827.6099988799955,1665.219997759991
3ht5m4wcczzcl6z96zwr3tc9,0.625512298560012,0.42523105192351585,0.07532489511813886,0,739.706060432501,1489.412120865002
4rr4qr63tqww5vrsqtrwv46s,0.711037969462127,0.4273295122114519,0.07977354281506709,0,737.3179399616351,1484.6358799232703
4qrs4qcwwtz9qchr33lqz43h,0.7181139803483575,0.43724894470791636,0.07928297637840892,0,761.9053750907481,1533.8107501814961
6sr9zq3clcw4rzlt5m4wqcc6,10.622823148426772,1.3279219670698963,0.06106504225206596,0,898.7669258907678,1807.5338517815355
4trzqwcv6649tczrrlq3l466,0.6573561933781611,0.4688019339183437,0.08521242224311507,0,710.5716500428202,1431.1433000856405
t3t65tm94r4tz4sqqc4rs65m,0.7700164796832819,0.4278367383579531,0.07780578847148065,0,754.0743556223857,1518.1487112447714
4zr445z6zvcssmt9qmzq64mr,0.4653328905720461,0.5203367511931788,0.0975349351516958,0,781.4995247729881,1572.9990495459763
4lr5qc94z3lrhc9z6rl3s4mr,0.7015317226785962,0.3867245311808678,0.06517200390988931,0,649.4363302925851,1308.8726605851703
4crr4rvsz6rtr39v3s6qv4sh,0.800532191166436,0.3392497200717234,0.0667863496428982,0,804.0651285561911,1618.1302571123822
69thlzq3366qhql653rwrzqs,0.8015203802525916,0.3685998108258014,0.0671931718734092,0,742.1782834284123,1494.3565668568247
4wr6365m5ztv35vswq3436ws,0.753279128307398,0.3954828728912469,0.07428574191289608,0,747.6501975429835,1505.300395085967
4tr9q9qmszw33vhmv33t54w4,0.5959547555843592,0.4592222965405892,0.07585472499825283,0,631.1703310906356,1272.3406621812712
4vrt4t9z9htr9lrhtmvq544c,0.8018895228027769,0.3841398063395237,0.08000905580147741,0,778.2412599867226,1566.4825199734453
45r54qzzhltztvhwrhmq646m,0.6732504844040353,0.4482475051650372,0.07633630795360101,0,670.5415204589845,1351.083040917969
44r54szvvth99l4mt4qqt4qw,0.4339061205364722,0.4075502060180224,0.0815151274566194,0,841.9089822534821,1693.8179645069642
33tm3r9vwlrzs4mzrrvhcqsz,0.5997405203886848,0.5188746883032208,0.0873218182448988,0,667.0124590173422,1344.0249180346843
hrthcltvhqlcm6mvc4w63tq9,0.6975816389169086,0.36672883688019786,0.06459410097394214,0,678.1050974202439,1366.2101948404877
54tzz44zm4q5hqwcvtqrttvt,0.27805638826664875,0.44358609494368795,0.08243998779422604,0,799.0328934078877,1608.0657868157755
45r94sc4rsvlt3hhqs4q345m,0.6934773751815202,0.06351377791478713,0.014588152390124596,0,221.41575829750587,452.83151659501175
4wr3qqvq3w95wcc9t9wlw4c6,0.7423371720736469,0.39375853267773697,0.0653194318219994,0,649.2804575404242,1308.5609150808484
qsrrv9r399hl655wqmshwc4v,0.7484441176951451,0.416461830838158,0.07979526855396822,0,739.2382193693445,1488.476438738689
64rqchzrzww3m5hs495l3qzs,0.7315429230832308,0.37516064085887085,0.06050310423958494,0,611.249917169519,1232.499834339038
99tm56rwzr5lqh6z6mscq9h9,0.6294885817599485,0.12627724109550176,0.03424402520971291,0,486.420170784788,982.840341569576
49r64m9sqmlc9t5wq69tq463,0.8230263569508971,0.4243563686925478,0.07545055831044245,0,748.6323687981313,1507.2647375962626
t5tt6vltm3939qtmv3qmvw49,0.5760385807387287,0.0931820386001558,0.02935624999419343,0,384.8876093120266,779.7752186240532
5stvthw4vthstq635l6ww4w9,0.5629627560139013,0.39751229504060104,0.05930176436050319,0,528.3180701359386,1066.6361402718771
h4r43mwzz964cc63599z6clq,16.169327997586795,0.9695283957188093,0.06160718850060877,0,938.7437612888754,1887.4875225777507
chtqwhc4shqmc49ztq9lsthv,0.7482132365772638,0.3705733680147517,0.06783273681035855,0,743.5253766982211,1497.0507533964421
